shell_id,rmin_mpc_h,rmax_mpc_h,smoothing_gaussian_mpc_h,delta_g_star_mean,delta_g_star_std,n_cells,origin_delta_g_star,reference,notes
shell_30_150,30.0,150.0,20.0,0.019769139740287198,0.1780367945902545,3675640,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Intermediate scales
shell_40_150,40.0,150.0,20.0,0.01896073366316294,0.17765073602598533,3634744,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); rmax=150
shell_30_200,30.0,200.0,20.0,0.010278321347373935,0.147627963689673,8753356,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Approximate 'local H0' shell used in mock surveys (bounded by 2M++ extent)
shell_40_200,40.0,200.0,20.0,0.009896513494323533,0.14725334091187808,8712460,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); bounded by 2M++ extent
shell_60_200,60.0,200.0,20.0,0.008536879357161532,0.1455336183029647,8545650,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),More conservative lower cut
shell_80_200,80.0,200.0,20.0,0.006539307544223207,0.14374118783666626,8220112,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),High-rmin shell; reduces local bulk-flow influence
shell_120_200,120.0,200.0,20.0,0.003685580460952916,0.13539112837157932,6885106,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very high-rmin shell; close to 'convergence' regime
shell_0_50,0.0,50.0,50.0,0.048569624903331186,0.022463560967241974,137059,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very local sphere (includes origin); mainly for reference
shell_0_100,0.0,100.0,50.0,0.032535946763979966,0.03706445431677766,1097911,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Local sphere; reference
shell_0_67,0.0,67.0,50.0,0.04350769888593727,0.02909305949451228,330373,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Odderskov+2015 rmax=67 (sphere; includes origin)
shell_0_75,0.0,75.0,50.0,0.040917515355052045,0.031668602360212926,462751,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 (sphere; includes origin)
shell_0_150,0.0,150.0,50.0,0.018155296719701564,0.038135210294483704,3705063,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match common rmax=150 (sphere; includes origin)
shell_0_200,0.0,200.0,50.0,0.008640702583782396,0.033424417924726654,8782779,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Maximal sphere fully inside 2M++ cube
shell_30_80,30.0,80.0,50.0,0.038468488717101755,0.033677582617593946,533244,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Mimics 'exclude very local flow' style lower cut; medium scales
shell_30_67,30.0,67.0,50.0,0.04256561171472236,0.030021437448961963,300950,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),"Match Odderskov+2015 style lower cut rmin=30, rmax=67"
shell_30_75,30.0,75.0,50.0,0.0400873541279761,0.03236855916902319,433328,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 with a conservative lower cut rmin=30
shell_30_150,30.0,150.0,50.0,0.01787521900177644,0.03813911114607395,3675640,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Intermediate scales
shell_40_150,40.0,150.0,50.0,0.0175184893377926,0.03814082384111417,3634744,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); rmax=150
shell_30_200,30.0,200.0,50.0,0.008491112784581334,0.03337142219742331,8753356,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Approximate 'local H0' shell used in mock surveys (bounded by 2M++ extent)
shell_40_200,40.0,200.0,50.0,0.008298240345150254,0.03330038045613676,8712460,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); bounded by 2M++ extent
shell_60_200,60.0,200.0,50.0,0.007612715804824953,0.03300799650228262,8545650,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),More conservative lower cut
shell_80_200,80.0,200.0,50.0,0.006546460953589138,0.032407451939001464,8220112,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),High-rmin shell; reduces local bulk-flow influence
shell_120_200,120.0,200.0,50.0,0.003800109321148246,0.030082708831623627,6885106,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very high-rmin shell; close to 'convergence' regime
shell_0_50,0.0,50.0,100.0,0.013201457491342461,0.0026990704577192913,137059,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very local sphere (includes origin); mainly for reference
shell_0_100,0.0,100.0,100.0,0.010874044142221222,0.0047761594037473475,1097911,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Local sphere; reference
shell_0_67,0.0,67.0,100.0,0.012533664004114372,0.0035035746250676398,330373,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Odderskov+2015 rmax=67 (sphere; includes origin)
shell_0_75,0.0,75.0,100.0,0.012171197360881882,0.0038483014217587314,462751,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 (sphere; includes origin)
shell_0_150,0.0,150.0,100.0,0.007964403611588807,0.005832288467189429,3705063,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match common rmax=150 (sphere; includes origin)
shell_0_200,0.0,200.0,100.0,0.005357095529575217,0.005921402978776797,8782779,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Maximal sphere fully inside 2M++ cube
shell_30_80,30.0,80.0,100.0,0.011825703211110207,0.0041234262997197554,533244,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Mimics 'exclude very local flow' style lower cut; medium scales
shell_30_67,30.0,67.0,100.0,0.01241311845107438,0.0036115195435833395,300950,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),"Match Odderskov+2015 style lower cut rmin=30, rmax=67"
shell_30_75,30.0,75.0,100.0,0.012062865934730757,0.003929842527302195,433328,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 with a conservative lower cut rmin=30
shell_30_150,30.0,150.0,100.0,0.007917957405563008,0.005830455653499996,3675640,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Intermediate scales
shell_40_150,40.0,150.0,100.0,0.007857025655602647,0.005828651653135513,3634744,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); rmax=150
shell_30_200,30.0,200.0,100.0,0.005328828158933174,0.005910424011209718,8753356,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Approximate 'local H0' shell used in mock surveys (bounded by 2M++ extent)
shell_40_200,40.0,200.0,100.0,0.005291254805110248,0.005896251641838598,8712460,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); bounded by 2M++ extent
shell_60_200,60.0,200.0,100.0,0.005149804202827645,0.005844943349335156,8545650,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),More conservative lower cut
shell_80_200,80.0,200.0,100.0,0.004907371658057871,0.005760251491887597,8220112,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),High-rmin shell; reduces local bulk-flow influence
shell_120_200,120.0,200.0,100.0,0.004153085922353269,0.005494381550795005,6885106,0.014093954048896871,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very high-rmin shell; close to 'convergence' regime
