env_id,env_name,category,data_kind,use_for_fit,is_global_anchor,delta,delta_err,H0,H0_err,redshift_range,scale_mpc,source,notes,delta_kind,delta_scale_mpc_h,delta_source
cf2_proxy_bin_01_sigma20,"CF2 proxy bin 1 (δ_g*∈[-0.321,-0.069], n=560)",void,observed,True,False,-0.1276040491370198,,69.16312742173575,0.5522050217100544,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_02_sigma20,"CF2 proxy bin 2 (δ_g*∈[-0.069,0.035], n=560)",supercluster,observed,True,False,-0.013928702655530166,,67.71101541292893,0.530189291548774,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_03_sigma20,"CF2 proxy bin 3 (δ_g*∈[0.035,0.125], n=559)",supercluster,observed,True,False,0.0823846165996361,,67.35995803844597,0.5347277737180528,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_04_sigma20,"CF2 proxy bin 4 (δ_g*∈[0.125,0.209], n=559)",cluster,observed,True,False,0.16509806727660278,,68.32000667674109,0.5479274151526579,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_05_sigma20,"CF2 proxy bin 5 (δ_g*∈[0.209,0.320], n=560)",cluster,observed,True,False,0.26374440231155866,,68.44206208977857,0.5500637045998339,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_06_sigma20,"CF2 proxy bin 6 (δ_g*∈[0.320,0.409], n=560)",cluster,observed,True,False,0.3614814373206682,,69.15562024371529,0.5580677770089245,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_07_sigma20,"CF2 proxy bin 7 (δ_g*∈[0.409,1.174], n=560)",cluster,observed,True,False,0.527321330823273,,69.73120234959508,0.5684440875971194,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
