env_id,env_name,category,data_kind,use_for_fit,is_global_anchor,delta,delta_err,H0,H0_err,redshift_range,scale_mpc,source,notes,delta_kind,delta_scale_mpc_h,delta_source
cf2_cone_shapley_bin_01_sigma20,"CF2 cone[shapley] bin 1 (δ_g*∈[-0.155,0.184], n=45)",supercluster,observed,True,False,0.0468159629860347,,71.3420318053241,1.8845754544525175,local,"Cone 35deg @ (l,b)=(311.5,32.3); CF2 table1; smooth=20 Mpc/h",Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Within-cone quantile bin. H0=V/Dist with velocity_mode=raw and peculiar_vel_err=250 km/s.,delta_g_star_2mpp,20.0,D:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_12000.tsv
cf2_cone_shapley_bin_02_sigma20,"CF2 cone[shapley] bin 2 (δ_g*∈[0.184,0.371], n=45)",cluster,observed,True,False,0.2889950199880203,,76.63404433514515,2.1961675453803977,local,"Cone 35deg @ (l,b)=(311.5,32.3); CF2 table1; smooth=20 Mpc/h",Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Within-cone quantile bin. H0=V/Dist with velocity_mode=raw and peculiar_vel_err=250 km/s.,delta_g_star_2mpp,20.0,D:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_12000.tsv
cf2_cone_shapley_bin_03_sigma20,"CF2 cone[shapley] bin 3 (δ_g*∈[0.371,0.442], n=44)",cluster,observed,True,False,0.4053343620546878,,82.27605003644938,2.297266764144561,local,"Cone 35deg @ (l,b)=(311.5,32.3); CF2 table1; smooth=20 Mpc/h",Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Within-cone quantile bin. H0=V/Dist with velocity_mode=raw and peculiar_vel_err=250 km/s.,delta_g_star_2mpp,20.0,D:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_12000.tsv
cf2_cone_shapley_bin_04_sigma20,"CF2 cone[shapley] bin 4 (δ_g*∈[0.442,0.648], n=45)",cluster,observed,True,False,0.5329910259291021,,79.7723647807792,2.582795578141936,local,"Cone 35deg @ (l,b)=(311.5,32.3); CF2 table1; smooth=20 Mpc/h",Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Within-cone quantile bin. H0=V/Dist with velocity_mode=raw and peculiar_vel_err=250 km/s.,delta_g_star_2mpp,20.0,D:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_12000.tsv
cf2_cone_shapley_bin_05_sigma20,"CF2 cone[shapley] bin 5 (δ_g*∈[0.648,1.174], n=47)",cluster,observed,True,False,0.9614189046292907,,71.59961073701047,2.151424883425041,local,"Cone 35deg @ (l,b)=(311.5,32.3); CF2 table1; smooth=20 Mpc/h",Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Within-cone quantile bin. H0=V/Dist with velocity_mode=raw and peculiar_vel_err=250 km/s.,delta_g_star_2mpp,20.0,D:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_12000.tsv
