target_id,target_name,coord_system,galactic_l_deg,galactic_b_deg,r_mpc_h,x_mpc_h,y_mpc_h,z_mpc_h,delta_g_star,smoothing_gaussian_mpc_h,reference,notes
local_group,Local Group (origin),galactic,0.0,0.0,0.0,0.0,0.0,0.0,0.1197564886869981,20.0,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),"Origin of the 2M++ cube (cell [128,128,128])"
coma,Coma cluster (Abell 1656),equatorial,58.079419987779836,87.95763705026457,73.3,1.381233552796213,2.2172688763216923,73.25343618290356,0.4322764151332613,20.0,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),"Approx center RA=12h59m48.7s Dec=+27°58'50\; r≈cz/100 with z_CMB≈0.02445"""
great_attractor,Great Attractor (Norma/GA region),galactic,325.0,-7.0,48.4,39.35143652373896,-27.554172493302943,-5.898476220809138,0.5241388523085098,20.0,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Direction l≈325 b≈-7; r≈4844/100 Mpc/h (order-of-mag)
shapley,Shapley supercluster (concentration),equatorial,311.531118363705,32.31073097097159,138.0,77.33034477729882,-87.31045667756234,73.76246966703056,1.1196292302083295,20.0,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Approx center RA≈13h25m Dec≈-30°; z≈0.046 -> cz≈13800 km/s -> r≈138 Mpc/h
