env_id,env_name,category,data_kind,use_for_fit,is_global_anchor,delta,delta_err,H0,H0_err,redshift_range,scale_mpc,source,notes,delta_kind,delta_scale_mpc_h,delta_source
cf2_proxy_bin_01_sigma20,"CF2 proxy bin 1 (δ_g*∈[-0.186,0.033], n=80)",supercluster,observed,True,False,-0.04361262398564206,,72.21549682389875,1.1276789149933806,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_02_sigma20,"CF2 proxy bin 2 (δ_g*∈[0.033,0.105], n=79)",supercluster,observed,True,False,0.0695115021841769,,74.0520872131856,1.252472681547949,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_03_sigma20,"CF2 proxy bin 3 (δ_g*∈[0.105,0.205], n=79)",cluster,observed,True,False,0.15918781395330586,,73.81346205244485,1.0577483670594445,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_04_sigma20,"CF2 proxy bin 4 (δ_g*∈[0.205,0.357], n=79)",cluster,observed,True,False,0.2907702645993046,,76.45764969942817,1.0564468341839253,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_05_sigma20,"CF2 proxy bin 5 (δ_g*∈[0.357,0.946], n=80)",cluster,observed,True,False,0.4830953042493086,,78.43141450711015,1.0230011244178534,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
