env_id,env_name,category,data_kind,use_for_fit,is_global_anchor,delta,delta_err,H0,H0_err,redshift_range,scale_mpc,source,notes,delta_kind,delta_scale_mpc_h,delta_source
cf2_proxy_bin_01_sigma20,"CF2 proxy bin 1 (δ_g*∈[-0.186,0.017], n=57)",supercluster,observed,True,False,-0.0688496273307109,,73.21082438763148,1.0677749811389505,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_02_sigma20,"CF2 proxy bin 2 (δ_g*∈[0.017,0.063], n=57)",supercluster,observed,True,False,0.036618845913137334,,73.55202162994823,1.3160599925430854,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_03_sigma20,"CF2 proxy bin 3 (δ_g*∈[0.063,0.123], n=56)",supercluster,observed,True,False,0.09124568763421494,,73.48098018138181,1.2858040279818184,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_04_sigma20,"CF2 proxy bin 4 (δ_g*∈[0.123,0.197], n=57)",cluster,observed,True,False,0.15830523212533743,,73.9782695858369,0.9306576442949415,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_05_sigma20,"CF2 proxy bin 5 (δ_g*∈[0.197,0.298], n=56)",cluster,observed,True,False,0.2514203905282435,,75.2196784632897,1.0621733005213658,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_06_sigma20,"CF2 proxy bin 6 (δ_g*∈[0.298,0.392], n=57)",cluster,observed,True,False,0.35263592441901864,,77.96148624759368,0.8859781813753075,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_07_sigma20,"CF2 proxy bin 7 (δ_g*∈[0.392,0.946], n=57)",cluster,observed,True,False,0.5257238506840518,,78.55171453807564,0.8367291320628834,local,bin from CF2; smooth=20 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,20.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
