env_id,env_name,category,data_kind,use_for_fit,is_global_anchor,delta,delta_err,H0,H0_err,redshift_range,scale_mpc,source,notes,delta_kind,delta_scale_mpc_h,delta_source
cf2_proxy_bin_01_sigma50,"CF2 proxy bin 1 (δ_g*∈[-0.042,0.035], n=80)",supercluster,observed,True,False,0.010447102892436482,,73.94207815195098,0.8975975203977098,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_02_sigma50,"CF2 proxy bin 2 (δ_g*∈[0.035,0.053], n=79)",supercluster,observed,True,False,0.0430509431884222,,76.06926439326601,1.1079798604711633,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_03_sigma50,"CF2 proxy bin 3 (δ_g*∈[0.053,0.064], n=79)",supercluster,observed,True,False,0.05846543187782399,,71.49836748071415,1.1907015332391622,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_04_sigma50,"CF2 proxy bin 4 (δ_g*∈[0.064,0.071], n=79)",supercluster,observed,True,False,0.06787964569126162,,78.2917044582279,1.3147791241389675,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_05_sigma50,"CF2 proxy bin 5 (δ_g*∈[0.071,0.133], n=80)",supercluster,observed,True,False,0.08909807500523857,,77.09518329988587,1.0979214953840088,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
